key,eta
shp11802709201578f,2025-06-14 20:12
shp135d4eb08d3f4445,2025-06-22 10:54
shp136790bcae8c43cc,2025-06-30 22:11
shp1517add4b841c027,2025-07-01 11:41
shp1a7febf357b849f0,2025-06-14 20:21
shp1c96174ba1717951,"Error fetching route from OpenRouteService: 404 ({'error': {'code': 2010, 'message': 'Could not find routable point within a radius of 350.0 meters of specified coordinate 1: 49.3653149 21.9113305.'}, 'info': {'engine': {'build_date': '2025-06-06T15:39:25Z', 'graph_version': '2', 'graph_date': '2025-06-23T11:47:36Z', 'osm_date': '1970-01-01T00:00:00Z', 'version': '9.3.0'}, 'timestamp': 1751805966590}})"
shp201a8c03c16d2f38,"Error fetching route from OpenRouteService: 404 ({'error': {'code': 2010, 'message': 'Could not find routable point within a radius of 350.0 meters of specified coordinate 1: 49.3653149 21.9113305.'}, 'info': {'engine': {'build_date': '2025-06-06T15:39:25Z', 'graph_version': '2', 'graph_date': '2025-06-23T11:47:36Z', 'osm_date': '1970-01-01T00:00:00Z', 'version': '9.3.0'}, 'timestamp': 1751805967142}})"
shp209816e788b85223,2025-06-29 01:39
shp240090bbd0dd8908,2025-06-27 09:03
shp264de818027821e4,2025-06-19 01:33
shp272c21fa9aa575d7,2025-06-27 01:53
shp2a03ac852b787853,2025-07-04 16:59
shp35a77f4c69195486,2025-06-16 21:46
shp37b1c989195b3bdb,2025-07-05 03:46
shp3d1f0687d1e77eaf,2025-06-13 00:47
shp3dca6aad33bb568b,2025-06-21 14:02
shp3eee185af3d9db9b,2025-06-26 21:43
shp4147153d24ad0e5,2025-06-26 14:22
shp41c31510345da9a4,2025-07-01 09:29
shp460b82d10bf32b27,2025-06-17 09:22
shp47f046b5a27ad88c,2025-06-15 00:45
shp4a28f93cbc85d4c6,2025-06-29 21:43
shp4c941819c34e826a,2025-07-01 01:42
shp527d05df67a73fd,2025-06-13 00:51
shp529d82044191ee89,2025-06-25 09:22
shp534adda0b9ea3084,2025-06-30 21:43
